en,es
Also the value at which the low battery warning is displayed.,Navegador Pulse sobre este botón para iniciar el navegador Histórico Pulse sobre este botón para la lista de comandos anteriores La línea de comandos ha sido desactivada por su administrador del sistema Línea de comandos Miniaplicación Mini-Commander Esta miniaplicación añade una línea de comandos al panel Fábrica de la miniaplicación Mini-Commander Mini-Commander Debe especificar un patrón Debe especificar un patrón y un comando Debe especificar un comando No puede especificar patrones duplicados Patrón Comando Miniaplicación del volumen Control de volumen Abrir el c_ontrol de volumen _Silenciar El control de volumen no encontró ningún elemento y/o dispositivo que controlar.
Warn on low time rather than low percentage Use the value defined in red_value as a time remaining to show the warning dialog rather than a percentage.,Esto significa que no tiene los complementos correctos de GStreamer instalados o que no tiene una tarjeta de sonido configurada.
Beep for warnings Beep when displaying a warning.,Usando GStreamer 0.10.
Drain from top Show the battery meter draining from the top of the battery.,Control de volumen Control de volumen desconocido %d Canal controlado por la miniaplicación.
Only implemented for traditional battery view.,Sólo para configuraciones de OSS Estado de silencio guardado Volumen guardado para restaurar durante el inicio Ajusta el volumen del sonido Preferencias del control de volumen Seleccione el dispositivo y pista para controlar.
"Upright (small) battery Show the upright, smaller battery on the panel.","_Activar _Desactivar _Propiedades Monitor del módem Conexión activa, pero no se pudo obtener el tiempo de conexión Tiempo conectado: %.1d:%.2d Desconectado Para conectarse a su proveedor de servicios de Internet, necesita privilegios de administrador Para desconectarse de su proveedor de servicios de Internet, necesita privilegios de administrador La contraseña introducida no es válida Comprueba que la ha tecleado correctamente y que no ha activado la tecla «Bloq."
"Show the horizontal battery Show the traditional, horizontal battery on the panel.",Mayús.» ¿Desea conectarse?
"Show the time/percent label 0 for no label, 1 for percentage and 2 for time remaining.",¿Desea desconectarse?
"Battstat Factory Percent Minutes Remaining Battery Status Utility Battery power low Battery fully re-charged Available palettes Insert ""%s"" Insert special character insert special character %s Gnome Panel applet for selecting strange characters that are not on my keyboard.",C_onectar _Desconectar No se pudo lanzar la herramienta de configuración de red Comprueba que está instalado en la ruta correcta y que tienen los permisos correctos Miniaplicación para activar y monitorizar una conexión de red de marcado telefónico.
Released under GNU General Public Licence.,"Introduzca la contraseña Contraseña: Conectando con el proveedor de servicios de Internet Activar y monitorizar una conexión de marcado telefónico Un monitor de carga del sistema capaz de mostrar gráficos para la CPU, RAM y del uso del espacio intercambio, además del tráfico de red."
Character Palette Insert characters DEPRECATED - Characters shown on applet startup Characters shown on applet startup The string that the user had selected when the applet was last used.,"Monitor del sistema Ha ocurrido un error al ejecutar «%s» : %s Procesador Memoria Red Espacio de intercambio Carga media Disco %s: %u%% en uso por programas %u%% en uso como caché La carga media del sistema es del %0.02f Carga CPU Carga de memoria Carga de red Carga del intercambio Carga del disco Abrir el m_onitor del sistema Monitor del sistema Activar el gráfico de carga de CPU Activar el gráfico de carga de memoria Activar el gráfico de carga de la red Activar el gráfico de carga de intercambio Activar el gráfico de promedio de carga Activar el gráfico de carga de disco Tasa de refresco de la miniaplicación en milisegundos Tamaño del gráfico Para los paneles horizontales, el ancho de los gráficos en píxeles, para los paneles verticales, esto es la altura de los gráficos."
This string will be displayed when the user starts the applet.,El color del gráfico para la actividad de la CPU relacionada con el usuario El color del gráfico para la actividad de la CPU relacionada con el sistema El color del gráfico para la actividad de la CPU relacionada con la prioridad El color del gráfico para la espera de E/S relacionada con la actividad de la CPU Color de fondo del gráfico de carga de CPU El color del gráfico para el uso de memoria relacionado con el usuario El color del gráfico para la memoria compartida El color del gráfico para la memoria del búfer El color del gráfico para la memoria caché Color de fondo del gráfico de uso de memoria El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para otros usos de la red Color de fondo del gráfico de red El color del gráfico para el uso de intercambio relativo al usuario Color de fondo del gráfico del espacio de intercambio El color del gráfico para el promedio de carga Color de fondo del gráfico de carga del sistema El color del gráfico para las lecturas de disco El color del gráfico para las escrituras de disco Color del fondo para el gráfico de carga de disco Un indicador de carga del sistema Recursos monitorizados _Procesador _Memoria _Red Espacio de _intercambio Car_ga _Disco duro Opciones Anchura del m_onitor del sistema: Altura del m_onitor del sistema: Intervalo de actualización del monitor del sis_tema: milisegundos _Usuario _Sistema _Prioridad Espera _E/S _Ocioso _Compartida _Búferes C_acheada _Libre _Fondo _Usado _Libre Carga _Media Disco duro _Lectura _Escritura Preferencias del monitor del sistema Monitor del módem Indicador del teclado Algunos elementos del panel no estarán disponibles a partir de ahora Uno o más elementos del panel (también llamados miniaplicaciones) no están ya disponibles en el escritorio GNOME.
List of available palettes List of strings containing the available palettes.,Estos elementos se quitarán de su configuración: No recibirá este mensaje de nuevo.
Charpicker Applet Factory _Edit _Palette: Palette entry Modify a palette by adding or removing characters Add Palette Edit Palette Palettes list _Palettes: Add button Click to add a new palette Edit button Click to edit the selected palette Delete button Click to delete the selected palette Character Palette Preferences CPU to Monitor Set the CPU to monitor.,"Tomboy (antes Notas adhesivas) Tomboy (actualización transparente de notas adhesivas) Fábrica miniaplicación de Notas adhesivas Notas adhesivas Crea, muestra y administra notas adhesivas en el escritorio Esta nota está bloqueada."
In a single processor system you don't have to change it.,Esta nota está desbloqueada.
"Mode to show cpu usage A 0 value means to show the applet in graphic mode (pixmap only), 1 to show the applet in text mode (not to show the pixmap) and 2 to show the applet in graphic and text mode.",Nota _nueva _Borrar la nota…
The type of text to display (if the text is enabled).,B_loquear la nota Preferencias de las notas adhesivas Propiedades predeterminadas de la nota Seleccione una tipografía para usar en todas las notas adhesivas Seleccione una tipografía predeterminada para la nota adhesiva T_ipografía: Usar la _tipografía del tema del sistema C_olor de la nota: Co_lor de la tipografía: Seleccione un color base para usar con todas las notas adhesivas Seleccione un color predeterminado para la nota adhesiva Usar el co_lor del tema del sistema Especifica la altura predeterminada (en píxeles) de las notas nuevas Especifica la anchura predeterminada (en píxeles) de las notas nuevas A_ltura: Comportamiento Forzar los colores y tipografías pre_determinados en las notas Seleccione si se debe forzar el estilo predeterminado en todas las notas C_olocar las notas en todas las áreas de trabajo Elija si las notas serán visibles en todas las áreas de trabajo Mostrar notas adhesivas Esta nota está desbloqueada.
